Content Manifest for Depot 250831

Manifest ID / date     : 4610675545635483043 / 05/28/2024 01:08:51
Total number of files  : 99
Total number of chunks : 383
Total bytes on disk    : 342878509
Total bytes compressed : 164701184

          Size Chunks File SHA                                 Flags Name
       1077712      2 90A965C408C99CDEBB91827E8515BCCD25AE5D4F     0 tools/steamvr_environments/game/bin/win64/SDL2.dll
       2591592      3 CEF1A035E541F68EBF826D732D33B5EE5EEF30F5     0 tools/steamvr_environments/game/bin/win64/animationsystem.dll
       5460840      6 81FCC823213B5DC2F53573D008A8E524CD4D89BC     0 tools/steamvr_environments/game/bin/win64/assetpreview.dll
        742400      1 7B6673D033D875347AC38F44C2B26FC6A6185F2B     0 tools/steamvr_environments/game/bin/win64/ati_compress_wrapper.dll
       2186088      3 01CA5CC02AED0ADB72BC98670FE3171ECB2EC1B1     0 tools/steamvr_environments/game/bin/win64/bakedlodbuilder.dll
        197480      1 52F7BF820712A14F15E336FCE9BA4DF2846B0110     0 tools/steamvr_environments/game/bin/win64/bugreporter_filequeue.dll
       2526056      3 207321F1B449985B2D06ED50B989FA6259E4EB8E     0 tools/steamvr_environments/game/bin/win64/d3dcompiler_43.dll
       1907552      2 C28525D941F1DB5169CD56839559A3E9C0BB0C13     0 tools/steamvr_environments/game/bin/win64/d3dcsx_43.dll
        511328      1 EECC2F4B2FE17D9D8B9E3ABD7160503D10C0D14C     0 tools/steamvr_environments/game/bin/win64/d3dx10_43.dll
        276832      1 E35ACB15EA52F6CD0587B4CA8DA0486B859FD048     0 tools/steamvr_environments/game/bin/win64/d3dx11_43.dll
       2401112      3 2BF450850A522A09E8D1CE0F1E443D86D934F4AD     0 tools/steamvr_environments/game/bin/win64/d3dx9_43.dll
       1558912      2 4EF5D229709E40F3F84E46C3A28341EADBD1A044     0 tools/steamvr_environments/game/bin/win64/dbghelp.dll
      21566976     21 A58EEC40719E34EC35D1C2CA5CB172A65492B42D     0 tools/steamvr_environments/game/bin/win64/embree3.dll
       5717352      6 7B5C83FE921F38A3B8C75AC15BEFC20C25C0CCDA     0 tools/steamvr_environments/game/bin/win64/engine2.dll
       2400616      3 2D4BCD50790FFC60D15F6DF9D724F70A4EF0BA4C     0 tools/steamvr_environments/game/bin/win64/environmentmapbuilder.dll
        334184      1 66E49AD1B4E35F2D5CD89F67F580B084D8D75B33     0 tools/steamvr_environments/game/bin/win64/filesystem_stdio.dll
        562024      1 7544C18CE19EFB1E37CF3AE9633465234DAA9719     0 tools/steamvr_environments/game/bin/win64/helpsystem.dll
       2703360      3 AB6DC3488B072A237F2A0D50686080F9346C24F1     0 tools/steamvr_environments/game/bin/win64/icui18n.dll
       2086400      2 BA613D36C4D4C4D6D98D51B80CF6E00BFB1CB48F     0 tools/steamvr_environments/game/bin/win64/icuuc.dll
        141160      1 8411CCB6D7CB5739CFF0846F5C0047FE6614B7B8     0 tools/steamvr_environments/game/bin/win64/imemanager.dll
        168296      1 C1EDCCA32CBDC780FC7ED91FFA0400210D929E16     0 tools/steamvr_environments/game/bin/win64/inputsystem.dll
       6016512      6 661CD1B2184BC5BA44C1CAB35F28B1188355AD1D     0 tools/steamvr_environments/game/bin/win64/libavcodec-57.dll
        774656      1 917462B49E2022A83C023997193D7D5B0AB07C45     0 tools/steamvr_environments/game/bin/win64/libavformat-57.dll
        387072      1 6A0988F9CF11433E05B79F956068D048CA762BC3     0 tools/steamvr_environments/game/bin/win64/libavresample-3.dll
        836096      1 2F3C0C3482DAF8D37375252EF6B593478319C55A     0 tools/steamvr_environments/game/bin/win64/libavutil-55.dll
       8047912      8 97FCFEC2F8AD44DBECEFD309099ADB813F6A579E     0 tools/steamvr_environments/game/bin/win64/libfbxsdk.dll
        481280      1 09D60D4F492DD87F367BB8E36AE3E0CA3AB4B58C     0 tools/steamvr_environments/game/bin/win64/libfontconfig-1.dll
       1058304      2 246012E4A804F87A25E86D6B3E4228B8D318A577     0 tools/steamvr_environments/game/bin/win64/libfreetype-6.dll
       1537536      2 99353BB0CC15752E67D4A34D3D163CF40B8236EF     0 tools/steamvr_environments/game/bin/win64/libglib-2.0-0.dll
