Content Manifest for Depot 250823 

Manifest ID / date     : 1611892435221362243 / 08/15/2025 20:35:37 
Total number of files  : 338 
Total number of chunks : 1212 
Total bytes on disk    : 1120952360 
Total bytes compressed : 363806208 


          Size Chunks File SHA                                 Flags Name
          9688      1 f154da88adf06b958cbe88d46a76b6eaebca716a     0 bin/linux64/chmod_trace_marker
        271549      1 bb5f159706e17accc50d50dc01856ac2d1b4ef66     0 bin/linux64/crashhandler.so
          7469      1 e248517f6a39e1b75a37039d2c4bccb88c2b8c70     0 bin/linux64/gpu-trace
       5927296      6 af7b85f490cd69a25128934abd513e4b6c3db786     0 bin/linux64/gpuvis
        269719      1 4174466d79059662169865c0e32b6fce5bac4b4a     0 bin/linux64/helloxr_vulkan
        209557      1 d2acea4bea63ba2751119f28db4639212917a061     0 bin/linux64/libaudio.so
       2726101      3 b010f3fe20daaf54aa3de732179896bd6fdf9903     0 bin/linux64/libicui18n.so
      12341952     12 d100285eae341c90742af141fa028fcdd220e420     0 bin/linux64/libicuuc.so
       2143160      3 716b7a2a2a50afadf590545434818e68654c4bf1     0 bin/linux64/libnrfserlib.so
       1752264      2 0d9290476fa4084652ed3242f1d5d15543217b9f     0 bin/linux64/libopenvr_api.so
       2007992      2 f650fc02be680fb461acfd632fde5b4cc7a81730     0 bin/linux64/libopenxr_loader.so
       2831996      3 808700926108f6e10397cd54f6237a3076d42310     0 bin/linux64/libpango-1.0.so
       6949851      7 80f6da038040b571172e4e6221a591526888ea42     0 bin/linux64/libpangoft2-1.0.so
        691250      1 788296aa55d9c9af7adad8f9fee8ac58094eaa93     0 bin/linux64/libpc_ble_driver_shared_sd_api_v6.so
       2488800      3 9e7637c8a0ecbc8178583be66322114ce049ae7a     0 bin/linux64/libprism.so
        395696      1 6168abb266945c10c017568d014dc1abf3f623ae     0 bin/linux64/libsteam_api.so
        204354      1 480f7058827ced170ba7330be672dc5713b0be64     0 bin/linux64/libtier0_s.so
        229787      1 46279da9796e16b6317a1115d8008d3aa86380ec     0 bin/linux64/libtier0_vr.so
      11998438     12 703dc2a4c2c7fa06316f6ac2de489be8b6cbe376     0 bin/linux64/libv8.so
       2845080      3 499fe1a170ae3ba9fe27cf2a3e36a475b2683db0     0 bin/linux64/libVkLayer_envextensions_layer.so
        284551      1 d90af20a0a603a42541959c81bc7a427f9d66d81     0 bin/linux64/libvstdlib_s.so
        369343      1 7e0524415619caee6c4b3c7b99ca68a47ce879f7     0 bin/linux64/libvstdlib_vr.so
         64864      1 04ce499a7c14c4891d0de9a19339c8f0e31c9380     0 bin/linux64/libXpresent.so.1
          8512      1 4f0667c32fb839704389b0c9824b2ab94fec9d3a     0 bin/linux64/openvr_api_canary
         49024      1 278fc4509fb5cace23d4dcd7825951246a8f5337     0 bin/linux64/openxr_runtimelist
       2211064      3 c9a58788ad91a6771d2cffe8ef2c914a8448dab7     0 bin/linux64/overlay_viewer
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/lib
      25337612     25 7ef481c4acf36c0d68424a7cffc1cf6b7753544a     0 bin/linux64/qt/lib/libicudata.so.54
       3161818      4 56c4e74745c3cd38c81ac1c1e32e183d5aacda56     0 bin/linux64/qt/lib/libicui18n.so.54
       2010678      2 bd32a197a95ae586be817ed32e779e90b5eef0ea     0 bin/linux64/qt/lib/libicuuc.so.54
       5511256      6 b11bcbf53179845c0eafd6eccabaf5db6946a9cb     0 bin/linux64/qt/lib/libQt5Core.so.5
        507600      1 63632def08560c2e8ec17323ed2629f3ead2f058     0 bin/linux64/qt/lib/libQt5DBus.so.5
       6346544      7 5709facac07f3583c9bd4e9f761fa26a68f22a03     0 bin/linux64/qt/lib/libQt5Gui.so.5
        928248      1 2ddf79f5c3e331e3299d84e88a6487b057327b55     0 bin/linux64/qt/lib/libQt5Multimedia.so.5
       1409600      2 9ea2900fa0b4a2fd153de18a22c1ea5370ac21bd     0 bin/linux64/qt/lib/libQt5Network.so.5
        357272      1 479e0a3b5718235bda1835f73bc589e4b21b8bf9     0 bin/linux64/qt/lib/libQt5OpenGL.so.5
        450696      1 9bfb24a04e8a4d83162cb9a665f61c0d5cb60cb0     0 bin/linux64/qt/lib/libQt5PrintSupport.so.5
        345160      1 b44a02137dd8237155c00b6c76c1efec5962ee1a     0 bin/linux64/qt/lib/libQt5Svg.so.5
       6806888      7 f82a368a8df8b30655bfe3000e7b65eff90723dc     0 bin/linux64/qt/lib/libQt5Widgets.so.5
       1466144      2 5771434c9781975a8ae893eb896eb36c919a8803     0 bin/linux64/qt/lib/libQt5XcbQpa.so.5
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins/imageformats
         45928      1 d452d862f2c665f08e5ab9a4ad92d455a811b2cf     0 bin/linux64/qt/plugins/imageformats/libqdds.so
         26312      1 b96aa50d62c04d517181649929d526fcac116edb     0 bin/linux64/qt/plugins/imageformats/libqgif.so
         37416      1 ece04a9ed78160e3486633ef728292cd5fc0c93a     0 bin/linux64/qt/plugins/imageformats/libqicns.so
         26544      1 7df486906f4b00245e474204315f9abcdc6dc162     0 bin/linux64/qt/plugins/imageformats/libqico.so
        541944      1 5b3ef31eb08837220d1dcc4d3698c5d36fd236e4     0 bin/linux64/qt/plugins/imageformats/libqjp2.so
        255216      1 7a4d50f37fad61b83e999370f56bdea686cf388e     0 bin/linux64/qt/plugins/imageformats/libqjpeg.so
        365208      1 724c88fb2ec4329c4e56aceaaa4dc6f796ec0619     0 bin/linux64/qt/plugins/imageformats/libqmng.so
         21680      1 4ca951243ac6c5e2672a676d504e3b6a75e7411b     0 bin/linux64/qt/plugins/imageformats/libqsvg.so
         20320      1 9881c73439b78bc51e8c5e0290ce2d76def69914     0 bin/linux64/qt/plugins/imageformats/libqtga.so
        426544      1 08a7479216f29d234cc6fda11a8277be248b8597     0 bin/linux64/qt/plugins/imageformats/libqtiff.so
         20016      1 d054446669f92f9d014f42e0e406181543ef4163     0 bin/linux64/qt/plugins/imageformats/libqwbmp.so
        383880      1 4056e2fbe1cc28946fdec3c51c3ce6a32a517f3f     0 bin/linux64/qt/plugins/imageformats/libqwebp.so
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins/platforminputcontexts
        275200      1 51935eea81a134f4d853786641215596a8d53638     0 bin/linux64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextplugin.so
         83328      1 d14e4ff8b9686fc67e193985a0fa53082528bbd3     0 bin/linux64/qt/plugins/platforminputcontexts/libibusplatforminputcontextplugin.so
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins/platforms
         10040      1 d782b976ea3fef267626a146541b815e122b7c16     0 bin/linux64/qt/plugins/platforms/libqxcb.so
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins/platformthemes
        254464      1 6d9552e8c7d36cc6055e30994babbe1a6ce257a0     0 bin/linux64/qt/plugins/platformthemes/libqgtk2.so
             0      0 0000000000000000000000000000000000000000    40 bin/linux64/qt/plugins/xcbglintegrations
         63288      1 d30d56160e52a16b5e51d3fe464b6a8a452aa180     0 bin/linux64/qt/plugins/xcbglintegrations/libqxcb-glx-integration.so
       1519496      2 d9915b745b6f68a0c796753ce3ef81505b5d2412     0 bin/linux64/restarthelper
      62817999     60 3fb1eafe8d281178730ac332ff548a2d5f3f79f3     0 bin/linux64/t2788t888t9.tmp
        825504      1 9138686a8f60fdd89f8dcaa0f60c7d9eeddf1268     0 bin/linux64/trace-cmd
           989      1 954c9024dcbad624980a17423cae4feb448c1d59     0 bin/linux64/VkLayer_envextensions_layer.json
      10891928     11 b8734bc0aa7103cd51a89477957657f4311c839a     0 bin/linux64/vrclient.so
       2166448      3 06640da88b9241aa7b37bc21b366fec890e617ab     0 bin/linux64/vrcmd
       7141784      7 7553a49cbd571de195411e4b85d923aaafc2fefe     0 bin/linux64/vrcompositor
        234848      1 c3a23d5731359d67e1adf45d82372a384dc7ce80     0 bin/linux64/vrcompositor-launcher
          2199      1 90b4c014ffe3b2b4105039eb1b5c6c327de2891b     0 bin/linux64/vrcompositor-launcher.sh
       1872688      2 175ebf11243b4c23ca52b1582aec7c87bbc5e5fc     0 bin/linux64/vrdashboard
       6731416      7 190027d8ef5936a5a182695daaaa816b082fd086     0 bin/linux64/vrmonitor
       1680032      2 6170deba24a48d89d1d382d3112bfe146f29b1ff     0 bin/linux64/vrpathreg
       1995216      2 99a8d4d04fba61da233f1782dfa9b3bc333c9ed6     0 bin/linux64/vrprismhost
       8853288      9 6299d5c382df18b700a822eee7c63de25e50dbfc     0 bin/linux64/vrserver
       2360248      3 81c9e69d14bc6f30bc8fa7d9ed8483f1a5c3406d     0 bin/linux64/vrstartup
       2368248      3 96f9b5482fec55dd6038d937440d20095abcf84d     0 bin/linux64/vrurlhandler
          2000      1 db3f880cc8b6ddb7d16464f37adecfb51b153a4e     0 bin/steamvr_msg.sh
           945      1 334c149e8a4cc9c0b0a35fce39e2da236bc39143     0 bin/steamvr_question.sh
       9589016     10 bbe3ad598f4c2af84c6417f077b52f8b1b1fd4da     0 bin/vrclient.so
          1097      1 84b485ca1e53a28dc177d3d3f9fc8e67cdd15691     0 bin/vrenv.sh
           359      1 f85179706133b8837ef657225c631fb23d0b04d8     0 bin/vrmonitor.sh
           359      1 1c68eee472720106ff91b3fe5cb1a3189146bf80     0 bin/vrpathreg.sh
          2736      1 4b18a4da45ac4ab22540a74c83d4196b97210991     0 bin/vrsetup.sh
           486      1 00a63705fa92c60e025173d061c1a8ca04475c9b     0 bin/vrstartup-helper.sh
          1552      1 d78effb6f568bcef3bdc0a9cc1599d03d384b10f     0 bin/vrstartup.sh
       1963974      2 628c8cd566f764bf21810fd8551176edde2807a9     0 bin/vrwebhelper/linux64/cef.pak
        268208      1 918b20c279530ce622fc6484927c02517b1a45f3     0 bin/vrwebhelper/linux64/cef_100_percent.pak
        423883      1 ec028584b48b097912deed5e3c085df7ca60a7fa     0 bin/vrwebhelper/linux64/cef_200_percent.pak
       1302042      2 0b5cdd5bcbea7ee0f6feb001f8d5e8d29d2be47b     0 bin/vrwebhelper/linux64/cef_extensions.pak
       1594096      2 c667e7118397e460e50bc0cd5f3638d4cd39f067     0 bin/vrwebhelper/linux64/chrome-sandbox
       1633209      2 3bca660e212b78be769802ec41da0aeeb9c8edf8     0 bin/vrwebhelper/linux64/devtools_resources.pak
      10518160     11 6bab2e77925515888808c1ef729c5bb1323100dd     0 bin/vrwebhelper/linux64/icudtl.dat
     160788200    154 097f5feb6c9d769e7bfa776198150d01abe79398     0 bin/vrwebhelper/linux64/libcef.so
       1836024      2 368972151d3db11367ab6a3e4c69d1a4380d86cb     0 bin/vrwebhelper/linux64/libEGL.so
      43826096     42 52606d377ce30d2e568118bb43790587353f8b45     0 bin/vrwebhelper/linux64/libGLESv2.so
       1662888      2 68590ed556b01f183b13c0d70eb58dd8d72b1444     0 bin/vrwebhelper/linux64/libminigbm.so
       1752264      2 0d9290476fa4084652ed3242f1d5d15543217b9f     0 bin/vrwebhelper/linux64/libopenvr_api.so
             0      0 0000000000000000000000000000000000000000    40 bin/vrwebhelper/linux64/locales
        392942      1 206c35feadbb4f85fb7fffac9278735446b9c095     0 bin/vrwebhelper/linux64/locales/am.pak
